"Name","StageID","StageType","ChannelId","StageNameSID","QuestStageNameSID","LoadingId","ThemeID","CameraPreset","BlockSize","ChaVRadius","RevivalId","KickRevivalId","RestartWarpLocation","KillZone","StageLevel","CombatPower","EnableLevel","EnableQuest","EnableCombatPower","EnableGreatBuildingID","EnableBuildingStep","EnablePkGrade","AirWalkban","DirectWarpAble","BoardOnOff","CanMeditation","GuildSanctumId","SummonItemUseType","EXPPenalty","ReturnWarpLocation","ReturnWarpItemUseId","DirectWarpNeedCostId","DirectWarpNeedCostCount","DirectWarpNeedItemId","DirectWarpNeedItemCount","DirectWarpNeedItemUseId","WaitingWarpLocation","PkOnOff","PkOnOffNonPK","PKGuardOff","PKtendency","Durability","StageRule","DeathPenalty_Durability","DeathPenalty_Injure","DeathPenalty_Steal","DeathPenalty_StealValue","DeathPenalty_EXP","IconId","MapMiniInfo","GraphicLevel","TriggerLevel","Gendata","GenDoorData","DungeonScriptData","SpawnDataID","NaviMeshId_Main","NaviMeshId_Sub01","IsPossibleMacroMode","StandardPosition_X","StandardPosition_Y","WayPoint","SafetyArea","SectorGrade","GetWayType","GatheringZone","MiningZone","SpiritZone","GetWayCoordinate","SequenceType","SequencePlayId","Repeat","DominionId_Inter","DominionId_Siege","DominionId_StrongPoint","IsInterServer","DominionId_Grade1","DominionId_Grade2","DominionId_Grade3","GuildWarPlunderId","SeverVisit","SeverVisitRevivalId","SeverVisitNoVitality","ConquerSeverNoVitality","Mapmark","Union_Zone","GuildAltarId","PkPenalty","PkDeathPanalty","PkSteal","PkDurability"
"204","204","22","90011","420275","420275","101","0","100","6400","0","13000304","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_204.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_204.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_204.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"205","205","22","90011","420276","420276","101","0","100","6400","0","13000305","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_205.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_205.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_205.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"206","206","22","90011","420277","420277","101","0","100","6400","0","13000306","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_206.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_206.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_206.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"207","207","22","90011","420278","420278","101","0","100","6400","0","13000307","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_207.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_207.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_207.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"208","208","22","90011","420279","420279","101","0","100","6400","0","13000308","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_208.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_208.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_208.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"211","211","22","90021","420280","420280","101","0","100","6400","0","13000309","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_211.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_211.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_211.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"212","212","22","90021","420281","420281","101","0","100","6400","0","13000310","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_212.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_212.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_212.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"213","213","22","90021","420282","420282","101","0","100","6400","0","13000311","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_213.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_213.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_213.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"214","214","22","90021","420283","420283","101","0","100","6400","0","13000312","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_214.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege2/Sabuk_Siege2","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege2","GENDATA_214.json","0","0","0","302","0","1","-37045","-37025","WAYPOINT_214.json","SAFE_AREA_201.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"221","221","23","90031","420284","420284","101","0","100","6400","0","13000313","0","0","-3000","0","100","1","0","0","0","0","0","0","0","1","0","0","1","0","701","0","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","0","0","0","900011","MAP_MINI_221.json","/Game/Maps/PVP/Sabuk_Siege/Sabuk_Siege1/Sabuk_Siege1","/Game/Maps/PVP/TRIGGER/TRG_Sabuk_Siege1","GENDATA_221.json","0","0","0","301","0","1","-55435","-57340","WAYPOINT_221.json","SAFE_AREA_221.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1001","1001","1","100001","410253","410253","101","0","100","6400","0","100001","0","0","-3000","0","100","1","0","0","0","0","0","0","1","1","0","0","1","1","50001","622000001","0","0","61301001","1","621000001","0","0","0","0","0","0","0","0","1","3","1001","3","900002","MAP_MINI_1001.json","/Game/Maps/ED/ED_lounge_01/ED_lounge_01","/Game/Maps/ED/ED_lounge_01/TRG_ED_lounge_01","0","0","0","1001","1001","0","1","-10766","-9208","WAYPOINT_1001.json","SAFE_AREA_1001.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"2021","2021","6","1004","421904","421904","101","103020","100","6400","0","10000900","0","0","-3000","37","29825","0","103001950","0","0","0","0","0","1","1","1","0","1","1","1006","622000001","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","0","0","0","0","900010","MAP_MINI_2021.json","/Game/Maps/PVP/Arena_Bicheon/Arena_Bicheon","/Game/Maps/PVP/TRIGGER/TRG_Arena_Bicheon","0","0","0","2021","2021","0","1","-10525","-10725","WAYPOINT_2021.json","SAFE_AREA_2021.json","0","0","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=7240.000000,Y=-7450.000000,Z=4050.000000)","0","0","0","0","0","0","0","0","0","0","0","2021","10000900","1","0","1","0","0","0","0","0","0"
"3010","3010","31","90002","421906","421906","101","0","100","6400","0","13000200","0","1010010103","-3000","0","0","1","0","0","0","0","0","0","1","1","1","0","1","0","1006","622000001","0","0","61301001","1","621000001","0","1","1","1","0","0","0","0","1","3","1001","0","900011","MAP_MINI_3010.json","/Game/Maps/PVP/Plunder/Plunder_01","/Game/Maps/PVP/TRIGGER/TRG_Plunder_01","GENDATA_3010.json","0","0","3010","3010","3011","0","-17260","-35290","WAYPOINT_3010.json","SAFE_AREA_3010.json","0","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","0","0","0","0","0","0","0","0","0","0","3010","2","100001","0","0","0","0","0","0","0","0","0"
"10010","10010","12","2002","420012","420012","101","101091","100","3200","0","1000080","0","0","-3000","21","13800","1","101013750","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20102","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10010.json","/Game/Maps/Elite/Elite_A01/Elite_A01","/Game/Maps/Elite/Trigger/TRG_EliteA01_Bicheon01","GENDATA_10010.json","0","0","10010","10010","0","1","-25000","-24620","WAYPOINT_10010.json","SAFE_AREA_10010.json","SECTOR_GRADE_10010.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=200,Y=20370,Z=110)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10011","10011","12","2002","420013","420013","101","101092","100","3200","0","1000080","0","0","-3000","23","13800","1","101013750","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20104","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10011.json","/Game/Maps/Elite/Elite_A01/Elite_A01","/Game/Maps/Elite/Trigger/TRG_EliteA01_Bicheon02","GENDATA_10011.json","0","0","0","10011","0","1","-25000","-24620","WAYPOINT_10011.json","SAFE_AREA_10011.json","SECTOR_GRADE_10011.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=200,Y=20370,Z=110)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10012","10012","12","2002","420080","420080","101","101092","100","3200","0","1000080","0","0","-3000","25","13800","1","101013750","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20108","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10012.json","/Game/Maps/Elite/Elite_A01/Elite_A01","/Game/Maps/Elite/Trigger/TRG_EliteA01_Bicheon03","GENDATA_10012.json","0","0","0","10012","0","1","-25000","-24620","WAYPOINT_10012.json","SAFE_AREA_10012.json","SECTOR_GRADE_10012.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=200,Y=20370,Z=110)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10013","10013","12","2005","420186","420186","102","101093","100","4800","0","1000080","0","1010010103","-3000","55","13800","1","101013750","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20112","1","1","1","0","0","0","0","1","3","1001","3","900004","MAP_MINI_10013.json","/Game/Maps/Elite/Elite_A02/Elite_A02","/Game/Maps/Elite/Trigger/TRG_EliteA02_Bicheon01","GENDATA_10013.json","0","0","10013","10013","0","1","-25100","-24690","WAYPOINT_10013.json","SAFE_AREA_10013.json","SECTOR_GRADE_10013.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=19860,Y=-110,Z=-20)","0","0","0","0","0","0","0","0","0","0","0","20112","100001","0","0","1","0","0","0","0","0","0"
"10020","10020","12","2002","420014","420014","101","102021","100","3200","0","1000080","0","0","-3000","30","24600","1","102010660","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20202","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10020.json","/Game/Maps/Elite/Elite_B01/Elite_B01","/Game/Maps/Elite/Trigger/TRG_EliteB01_R_Forest01","GENDATA_10020.json","0","0","10020","10020","0","1","-21500","-23300","WAYPOINT_10020.json","SAFE_AREA_10020.json","SECTOR_GRADE_10020.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=19190,Y=50,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10021","10021","12","2002","420015","420015","101","102022","100","3200","0","1000080","0","0","-3000","33","24600","1","102010660","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20204","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10021.json","/Game/Maps/Elite/Elite_B01/Elite_B01","/Game/Maps/Elite/Trigger/TRG_EliteB01_R_Forest02","GENDATA_10021.json","0","0","0","10021","0","1","-21500","-23300","WAYPOINT_10021.json","SAFE_AREA_10021.json","SECTOR_GRADE_10021.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=19190,Y=50,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10022","10022","12","2002","420081","420081","101","102022","100","3200","0","1000080","0","0","-3000","36","24600","1","102010660","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20208","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10022.json","/Game/Maps/Elite/Elite_B01/Elite_B01","/Game/Maps/Elite/Trigger/TRG_EliteB01_R_Forest03","GENDATA_10022.json","0","0","0","10022","0","1","-21500","-23300","WAYPOINT_10022.json","SAFE_AREA_10022.json","SECTOR_GRADE_10022.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=19190,Y=50,Z=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10023","10023","12","2005","420187","420187","102","102023","100","4800","0","1000080","0","1010010103","-3000","75","24600","1","102010660","0","0","0","0","0","1","1","0","1","1","1","1006","622000001","0","0","61301001","1","621000001","20212","1","1","1","0","0","0","0","1","3","1001","3","900004","MAP_MINI_10023.json","/Game/Maps/Elite/Elite_B02/Elite_B02","/Game/Maps/Elite/Trigger/TRG_EliteB02_R_Forest01","GENDATA_10023.json","0","0","10023","10023","0","1","-24020","-24050","WAYPOINT_10023.json","SAFE_AREA_10023.json","SECTOR_GRADE_10023.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=-19220,Y=60,Z=800)","0","0","0","0","0","0","0","0","0","0","0","20212","100001","0","0","1","0","0","0","0","0","0"
"10030","10030","12","2002","420016","420016","101","103071","100","3200","0","10000250","0","0","-3000","45","43900","1","102104600","0","0","0","0","0","1","1","0","1","1","1","1030030101","622000001","0","0","61301001","1","621000001","20302","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10030.json","/Game/Maps/Elite/Elite_C01/Elite_C01","/Game/Maps/Elite/Trigger/TRG_Elitec01_SnakeValley01","GENDATA_10030.json","0","0","0","10030","0","1","-24450","-26640","WAYPOINT_10030.json","SAFE_AREA_10030.json","SECTOR_GRADE_10030.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=80,Y=-19150,Z=890)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10031","10031","12","2002","420017","420017","101","103072","100","3200","0","10000250","0","0","-3000","48","43900","1","102104600","0","0","0","0","0","1","1","0","1","1","1","1030030101","622000001","0","0","61301001","1","621000001","20304","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10031.json","/Game/Maps/Elite/Elite_C01/Elite_C01","/Game/Maps/Elite/Trigger/TRG_Elitec01_SnakeValley02","GENDATA_10031.json","0","0","10031","10031","0","1","-24450","-26640","WAYPOINT_10031.json","SAFE_AREA_10031.json","SECTOR_GRADE_10031.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=80,Y=-19150,Z=890)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"10032","10032","12","2002","420082","420082","101","103072","100","3200","0","10000250","0","0","-3000","51","43900","1","102104600","0","0","0","0","0","1","1","0","1","1","1","1030030101","622000001","0","0","61301001","1","621000001","20308","1","0","0","1","0","0","0","1","3","1001","3","900003","MAP_MINI_10032.json","/Game/Maps/Elite/Elite_C01/Elite_C01","/Game/Maps/Elite/Trigger/TRG_Elitec01_SnakeValley03","GENDATA_10032.json","0","0","0","10032","0","1","-24450","-26640","WAYPOINT_10032.json","SAFE_AREA_10032.json","SECTOR_GRADE_10032.json","1","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=0,Y=0,Z=0)","(X=80,Y=-19150,Z=890)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
