StageId,Money,TimeTicket,ClassItem01,ClassItem02,ClassItem03,ClassItem04,ClassItem05,ClassItem06,ClassItemCountMin01,ClassItemCountMin02,ClassItemCountMin03,ClassItemCountMin04,ClassItemCountMin05,ClassItemCountMin06,ClassItemCountMax01,ClassItemCountMax02,ClassItemCountMax03,ClassItemCountMax04,ClassItemCountMax05,ClassItemCountMax06
10030,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(301202010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(301203010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(301204010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(301205010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(301206010,1301201408,602202327,901200702,1201200201,508200002,701200403,501200023,517200203,802200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10031,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(302202010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(302203010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(302204010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(302205010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(302206010,1301201408,602202327,901200801,1201200201,508200002,701200303,501200023,517200203,801200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10032,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(301202010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(301203010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(301204010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(301205010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(301206010,1301201408,602202327,901200901,1201200201,508200002,701200203,501200023,517200203,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10033,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202327,210110024,901201001,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10040,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301202010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301203010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301204010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301205010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301206010,1301201408,602202327,210110009,901200502,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10041,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202327,210110010,901200602,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10042,"""(2,11)""","""(0)""","""(301201010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(301202010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(301203010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(301204010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(301205010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(301206010,1301201408,602202327,210110011,901200702,1201200201,508200002,701200203,501200024,517200204,802200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10043,"""(2,11)""","""(0)""","""(302201010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(302202010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(302203010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(302204010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(302205010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(302206010,1301201408,602202327,210110012,901200801,1201200201,508200002,701200103,501200024,517200204,801200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10050,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301202010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301203010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301204010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301205010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(301206010,1301201408,602202418,210110013,901200901,1201200201,508200002,701200403,501200024,517200204,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10051,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202418,210110014,901201001,1201200201,508200002,701200303,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10052,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301202010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301203010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301204010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301205010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301206010,1301201408,602202418,210110015,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10053,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202418,210110016,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10060,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(301202010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(301203010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(301204010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(301205010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(301206010,1301201408,602202418,210110017,901200702,1201200201,508200002,701200403,501200024,517200204,802200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10061,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(302202010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(302203010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(302204010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(302205010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(302206010,1301201408,602202418,210110018,901200801,1201200201,508200002,701200303,501200024,517200204,801200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10062,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301202010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301203010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301204010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301205010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(301206010,1301201408,602202418,210110019,901200901,1201200201,508200002,701200203,501200024,517200204,804200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10063,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(302202010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(302203010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(302204010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(302205010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(302206010,1301201408,602202418,210110020,901201001,1201200201,508200002,701200103,501200024,517200204,804200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10070,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(301202010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(301203010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(301204010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(301205010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(301206010,1301201408,602202418,210110021,901200502,1201200201,508200002,701200403,501200024,517200204,803200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10071,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302202010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302203010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302204010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302205010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302206010,1301201408,602202418,210110022,901200602,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10072,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(301202010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(301203010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(301204010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(301205010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(301206010,1301201408,602202418,210110023,901200702,1201200201,508200002,701200203,501200024,517200204,803200002,603200401)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10073,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(302202010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(302203010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(302204010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(302205010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(302206010,1301201408,602202418,210110024,901200801,1201200201,508200002,701200103,501200024,517200204,802200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10080,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(301202010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(301203010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(301204010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(301205010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(301206010,1301201408,602202418,210110001,901200901,1201200201,508200002,701200403,501200024,517200204,801200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10081,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302202010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302203010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302204010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302205010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(302206010,1301201408,602202418,210110002,901201001,1201200201,508200002,701200303,501200024,517200204,804200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10082,"""(2,11)""","""(0)""","""(301201010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(301202010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(301203010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(301204010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(301205010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(301206010,1301201408,602202418,210110003,901200502,1201200201,508200002,701200203,501200024,517200204,804200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
10083,"""(2,11)""","""(0)""","""(302201010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302202010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302203010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302204010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302205010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(302206010,1301201408,602202418,210110004,901200602,1201200201,508200002,701200103,501200024,517200204,803200002,603200301)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)""","""(0)"""
