"Name","RowId","AreaId","MiniGroupId","MiniGroupStringId","MiniGroupIcon","MiniGroupCoordinate","MapFunction","MapContentID","GoodsTabAble","DominionIconId","DominionId","TouchPosition_X","TouchPosition_Y","TouchScale_X","TouchScale_Y","MonLevelMin","MonLevelMax","PartyPlay","현재 x","현재 y","변경 x","변경 y","변동 x","변동 y","현재좌표x","현재좌표y","변경좌표x","변경좌표y","최종값","x","y","기준x","기준y","크기x","크기y"
"17","17","1000","1110","910015","910052","(X=587, Y=76)","0","0","1","0","0","-69","-111","207","195","30","37","0","592","140","639","125","47","-15","570","14","777","209","(X=777, Y=209)","777","209","-69","-111","207","195"
"18","18","1000","1120","910016","910052","(X=57, Y=213)","0","0","1","0","0","-104","-114","207","222","30","80","1","98","223","110","261","12","38","6","147","213","369","(X=213, Y=369)","213","369","-104","-114","207","222"
"19","19","1000","1130","910017","910052","(X=389, Y=116)","0","0","1","0","0","-178","-110","299","175","31","35","0","360","190","442","165","82","-25","264","55","563","230","(X=563, Y=230)","563","230","-178","-110","299","175"
"20","20","1000","1141","910018","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","21","1000","1142","910019","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","22","1000","1144","910021","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","23","1000","1145","910022","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","24","1000","1146","910023","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","25","1000","1148","410277","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","26","1000","1149","444009","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","27","1000","1150","444010","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124","145","0","0","0","0"
"28","28","1000","1151","444011","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","-7","0","0","0","0"
"29","29","1000","1152","444012","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","152","0","0","0","0"
"30","30","1000","1153","444013","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","938","720","0","0","0","0"
"31","31","1000","1154","444014","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","954","713","0","0","0","0"
"32","32","1000","1155","444021","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","33","1000","1156","444022","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","34","1000","1170","410477","910052","(X=800, Y=557)","0","0","1","0","0","-108","-84","190","184","0","0","0","872","557","923","571","51","14","888","571","837","557","(X=837, Y=557)","166","184","-972","-571","215","184"
"35","35","2000","2010","910024","910052","(X=609, Y=376)","0","0","1","0","0","-174","-79","337","202","40","55","0","654","433","658","416","4","-17","484","337","821","539","(X=821, Y=539)","821","539","-174","-79","337","202"
"36","36","2000","2020","910102","910053","(X=189, Y=293)","0","0","1","910020","3010","-100","-62","204","170","61","95","1","209","359","240","343","31","-16","140","281","344","451","(X=344, Y=451)","344","451","-100","-62","204","170"
"37","37","2000","2030","910026","910052","(X=214, Y=529)","0","0","1","0","0","-144","-98","291","219","45","90","1","321","490","264","574","-57","84","120","476","411","695","(X=411, Y=695)","411","695","-144","-98","291","219"
"38","38","2000","2040","910027","910052","(X=5, Y=213)","0","0","1","0","0","-53","-119","128","223","49","51","0","74","249","55","259","-19","10","2","140","130","363","(X=130, Y=363)","130","363","-53","-119","128","223"
"39","39","2000","2060","910028","910052","(X=392, Y=144)","0","0","1","0","0","-159","-83","328","168","56","59","0","457","175","443","188","-14","13","284","105","612","273","(X=612, Y=273)","612","273","-159","-83","328","168"
"40","40","2000","2070","910029","910052","(X=739, Y=168)","0","0","1","0","0","-151","-91","301","187","60","105","1","752","183","788","213","36","30","637","122","938","309","(X=938, Y=309)","938","309","-151","-91","301","187"
"41","41","2000","2080","910030","910052","(X=1097, Y=154)","0","0","1","0","0","-142","-89","268","180","61","67","0","1087","169","1146","200","59","31","1004","111","1272","291","(X=1272, Y=291)","1272","291","-142","-89","268","180"
"42","42","2000","2090","910031","910052","(X=1164, Y=332)","0","0","1","0","0","-117","-72","176","198","65","66","0","1227","339","1213","376","-14","37","1096","304","1272","502","(X=1272, Y=502)","1272","502","-117","-72","176","198"
"43","43","2000","2100","910033","910052","(X=935, Y=553)","0","0","1","0","0","-139","-76","287","179","42","43","0","1000","578","985","594","-15","16","846","518","1133","697","(X=1133, Y=697)","1133","697","-139","-76","287","179"
"44","44","2000","2143","910020","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","45","2000","2155","444015","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","46","2000","2156","444016","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","47","2000","2157","444018","910052","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","48","2000","2200","410622","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","49","3000","3010","910101","910052","(X=438, Y=256)","0","0","1","0","0","-124","-75","238","196","0","0","0","503","258","489","302","-14","44","365","227","603","423","(X=603, Y=423)","603","423","-124","-75","238","196"
"50","50","3000","3030","910103","910052","(X=93, Y=345)","0","0","1","0","0","-122","-72","232","168","75","110","1","205","411","144","391","-61","-20","22","319","254","487","(X=254, Y=487)","254","487","-122","-72","232","168"
"51","51","3000","3040","910104","910052","(X=194, Y=137)","0","0","1","0","0","-128","-125","235","254","78","83","0","223","204","245","183","22","-21","117","58","352","312","(X=352, Y=312)","352","312","-128","-125","235","254"
"52","52","3000","3050","910105","910052","(X=936, Y=332)","0","0","1","0","0","-164","-111","258","287","86","87","0","914","366","987","377","73","11","823","266","1081","553","(X=1081, Y=553)","1081","553","-164","-111","258","287"
"53","53","3000","3060","910106","910052","(X=856, Y=110)","0","0","1","0","0","-129","-89","302","186","91","99","0","940","123","907","157","-33","34","778","68","1080","254","(X=1080, Y=254)","1080","254","-129","-89","302","186"
"54","54","3000","3070","910110","910053","(X=1110, Y=199)","0","0","1","910020","3024","-71","-103","181","227","91","125","1","1159","204","1161","247","2","43","1090","144","1271","371","(X=1271, Y=371)","1271","371","-71","-103","181","227"
"55","55","3000","3080","910107","910052","(X=623, Y=138)","0","0","1","0","0","-91","-148","180","214","90","120","1","700","230","676","186","-24","-44","585","38","765","252","(X=765, Y=252)","765","252","-91","-148","180","214"
"56","56","3000","3090","910108","910052","(X=359, Y=543)","0","0","1","0","0","-133","-109","280","212","70","71","0","497","598","410","589","-87","-9","277","480","557","692","(X=557, Y=692)","557","692","-133","-109","280","212"
"57","57","3000","3100","444017","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","59","4000","4010","910210","910052","(x=369,y=645)","0","0","1","0","0","-147","-162","247","208","100","100","0","423","619","0","0","350","594","0","0","350","594","(X=468,Y=597)","507","729","245","-112","232","200"
"60","60","4000","4020","910201","910052","(x=507,y=407)","0","0","1","0","0","-340","-85","700","151","101","119","0","580","432","0","0","507","407","0","0","507","407","(X=560,Y=391)","910","490","3","-94","720","130"
"61","61","4000","4030","910211","910052","(x=624,y=594)","0","0","1","0","0","-144","-111","284","208","103","112","0","658","589","0","0","585","564","0","0","585","564","(X=725,Y=600)","787","729","254","-112","268","230"
"62","62","4000","4040","910202","910052","(x=840,y=210)","0","0","1","0","0","-120","-112","149","190","120","138","0","744","258","995","167","840","210","0","0","840","210","(X=1070,Y=165)","912","335","243","-112","149","190"
"63","63","4000","4050","910203","910052","(x=919,y=497)","0","0","1","0","0","-147","-112","295","297","128","134","0","951","535","0","0","919","497","0","0","919","497","(X=1143,Y=571)","1110","729","216","-112","295","297"
"64","64","4000","4060","910205","910052","(x=1015,y=100)","0","0","1","0","0","-141","-92","221","162","126","151","1","1036","146","0","0","1015","100","0","0","1015","100","(X=1191,Y=30)","1138","217","222","-92","221","162"
"65","65","4000","4070","910209","910052","(x=610,y=110)","0","0","1","0","0","-142","-115","250","223","106","131","1","592","148","0","0","574","110","0","0","574","110","(X=644,Y=61)","759","232","238","-114","267","189"
"66","66","4000","4100","910213","910053","(x=1131,y=293)","0","0","1","0","0","-161","-117","257","206","129","155","1","1204","318","0","0","1131","293","0","0","1131","293","0","1270","429","202","-117","257","206"
"67","67","4000","4110","444019","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","68","5000","5030","910206","910052","(x=574,y=283)","0","0","1","0","0","-236","-168","487","280","0","0","0","0","0","0","0","500","500","0","0","463","355","(x=463,y=355)","770","482","-236","-168","487","242"
"69","69","5000","5010","910204","910052","(x=654,y=570)","0","0","1","0","0","-180","-123","328","216","110","140","0","169","165","242","190","96","140","0","0","240","570","(x=240,y=570)","444","716","-180","-123","328","216"
"70","70","5000","5020","910212","910052","(x=1030,y=520)","0","0","1","0","0","-175","-133","328","216","115","117","0","325","235","0","0","252","210","0","0","680","580","(x=680,y=580)","889","716","-175","-133","328","216"
"71","71","5000","5040","910207","910052","(x=245, y=371)","0","0","1","0","0","-92","-179","201","268","141","146","0","0","0","0","0","0","0","0","0","1090","265","(X=1090, Y=265)","1260","461","-146","-26","316","222"
"72","72","5000","5050","910214","910052","(x=529, y=95)","0","0","1","0","0","-191","-185","390","200","142","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","73","5000","5060","910208","910052","(X=1005, Y=141)","0","0","1","0","0","-187","-163","375","197","146","155","0","0","0","0","0","0","0","0","0","910","141","(X=910, Y=141)","1194","228","-91","-110","375","197"
"74","74","5000","5070","910215","910052","(x=47, y=422)","0","0","1","0","0","-100","-190","200","249","141","159","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","75","5000","5080","444023","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","76","18000","18010","410623","910052","(x=490,y=445)","0","0","1","0","0","-210","-168","400","280","156","157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","77","18000","18020","410652","910052","(X=1083, Y=215)","0","0","1","0","0","-191","-145","390","200","159","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","78","18000","18030","410680","910052","(x=583,y=165)","0","0","1","0","0","-180","-123","328","216","162","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","79","18000","18040","910216","910052","(x=843,y=562)","0","0","1","0","0","-187","-163","375","197","157","175","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","80","18000","18050","910217","910053","(x=216, y=331)","0","0","1","0","0","-92","-179","201","268","160","177","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","81","21000","21010","913006","910052","(x=590,y=310)","0","0","1","0","0","-128","-145","261","268","160","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","82","21000","21020","913008","910052","(X=1010, Y=480)","0","0","1","0","0","-52","-58","105","95","163","174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","83","21000","21030","913009","910052","(x=298,y=81)","0","0","1","0","0","-52","-58","105","95","173","184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","84","21000","21050","913011","0","(X=0, Y=0)","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","85","21000","21060","913012","0","(X=0, Y=0)","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","86","6000","6001","911007","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","87","6000","6002","911023","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","88","6000","6003","911024","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","89","6000","6004","911021","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","90","6000","6005","911022","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","91","6000","6006","911028","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","92","6000","6007","911026","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","93","6000","6008","911031","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","94","6000","6009","911025","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","95","6000","6010","911004","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","96","6000","6011","911032","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","97","6000","6012","911037","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","99","6000","6014","911050","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","100","7000","7001","911038","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","101","7000","7002","911027","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","102","7000","7003","911020","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","103","7000","7004","911041","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","104","7000","7005","911039","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","105","7000","7006","911042","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","106","7000","7007","911043","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","107","7000","7008","911044","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","108","7000","7009","911045","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","109","7000","7010","911040","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","110","7000","7011","911046","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","111","7000","7012","911046","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","113","7000","7014","911051","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","114","8000","8001","402001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","115","8000","8002","402002","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","116","8000","8003","402003","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","117","8000","8004","403002","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","118","8000","8005","403005","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","119","8000","8006","403006","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","120","8000","8007","403008","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","121","8000","8008","403009","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","122","8000","8009","403010","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","123","10000","10001","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","124","10000","10002","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","125","10000","10002","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","126","10000","10002","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","127","10000","10005","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"128","128","10000","10005","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","129","10000","10005","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"130","130","10000","10008","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","131","10000","10008","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","132","10000","10008","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"133","133","10000","10011","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","134","10000","10011","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","135","10000","10011","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","136","10000","10014","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","137","10000","10014","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","138","10000","10014","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","139","10000","10017","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","140","10000","10017","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"141","141","10000","10017","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","142","10000","10020","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","143","10000","10020","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","144","10000","10022","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","145","10000","10022","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","146","10000","10022","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","147","10000","10025","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"148","148","10000","10026","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","149","10000","10027","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","150","10000","10028","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","151","10000","10029","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","152","10000","10030","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"153","153","10000","10031","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","154","10000","10031","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","155","10000","10033","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","156","10000","10033","911001","0","(X=0, Y=0)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
