"Name","RowId","MiniGroupId","MiniStageId","BidoMatrixStageId","MiniMapCoordinateLT","MiniMapCoordinateRB","MiniMapZoom","UserMovingRaderZoom","MiniMapResource","ElliteCheck","DefaultOpenList","ElliteStageId"
"56","56","1142","300140","0","(X=-13670.0, Y=-16640.0, Z=0)","(X=13330.0, Y=10360.0, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/RD_Underwater","0","0","0"
"57","57","1144","300160","0","(X=-8500.0, Y=-8440.0, Z=0)","(X=8500.0, Y=8560.0, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/RD_BloodTusa","0","0","0"
"58","58","1145","300210","0","(X=-9970.0, Y=-6850, Z=0)","(X=10030.0, Y=13150.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/RD_DarkStoneRoom","0","0","0"
"59","59","1146","300220","0","(X=-6190, Y=-8920, Z=0)","(X=14210, Y=11480, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Wall","0","0","0"
"60","60","1147","300230","0","(X=-22980, Y=-20090, Z=0)","(X=18020, Y=20910, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/Party_Occupation","0","0","0"
"61","61","1148","300240","0","(X=-15600, Y=280, Z=0)","(X=5400, Y=21280, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_BicheonJail","0","0","0"
"62","62","1149","300250","0","(X=-15600, Y=280, Z=0)","(X=5400, Y=21280, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_BicheonJail","0","0","0"
"63","63","1150","300260","0","(X=-25370, Y=-25180, Z=0)","(X=24630, Y=24820, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_EightAngle","0","0","0"
"64","64","1151","300270","0","(X=-10530, Y=-10960, Z=0)","(X=11470, Y=11040, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Uma_Boss","0","0","0"
"65","65","1152","300280","0","(X=-22980, Y=-20090, Z=0)","(X=18020, Y=20910, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/Party_Occupation","0","0","0"
"66","66","1153","300290","0","(X=-25950, Y=-25520, Z=0)","(X=23250, Y=23680, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_SnakeValley_S","0","0","0"
"67","67","1154","300300","0","(X=-4950, Y=-3990, Z=0)","(X=3450, Y=4410, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Inn","0","0","0"
"68","68","1155","300370","0","(X=-18000, Y=-20480, Z=0)","(X=20000, Y=17520, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/FG_Tutorial","0","0","0"
"69","69","1156","300380","0","(X=-13670.0, Y=-16640.0, Z=0)","(X=13330.0, Y=10360.0, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/RD_Underwater","0","0","0"
"70","70","1170","101003060","0","(X=-19490, Y=-28340, Z=0)","(X=20510, Y=11660, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ED_Spirit","0","4","0"
"71","71","2010","103003010","0","(X=-25950, Y=-25520, Z=0)","(X=23250, Y=23680, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_SnakeValley_S","0","4","0"
"72","72","2010","103004010","0","(X=-22070, Y=-24850, Z=0)","(X=21930, Y=19150, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_SnakeCave","0","2","0"
"73","73","2010","104003010","0","(X=-4380, Y=-4710, Z=0)","(X=4420, Y=4090, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_MineHill_P","0","0","0"
"74","74","2011","300410","0","(X=-4380, Y=-4710, Z=0)","(X=4420, Y=4090, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_MineHill_P","0","0","0"
"75","75","2010","104004010","0","(X=-8420, Y=-8350, Z=0)","(X=8320, Y=8400, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_MineTop_P","0","2","0"
"76","76","2020","201003030","0","(X=-27410, Y=-28030, Z=0)","(X=27189.99, Y=26570, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under01_S","0","2","0"
"77","77","2020","201003031","0","(X=-21740.0, Y=-24220, Z=0)","(X=27260.0, Y=24780, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under03_S","0","2","0"
"78","78","2020","201003032","0","(X=-20990, Y=-21550, Z=0)","(X=22410, Y=21850, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under02_S","0","2","0"
"79","79","2020","201003033","0","(X=-23550, Y=-25360, Z=0)","(X=35450, Y=33640, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under04_S","0","2","0"
"80","80","2020","11001","0","(X=-23310, Y=-31890, Z=0)","(X=20690, Y=12110, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Special01","0","2","0"
"81","81","2030","10030","0","(X=-23840, Y=-23570, Z=0)","(X=24160, Y=24430, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_C01","0","2","0"
"82","82","2030","10031","0","(X=-23840, Y=-23570, Z=0)","(X=24160, Y=24430, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_C01","0","2","0"
"83","83","2030","10032","0","(X=-23840, Y=-23570, Z=0)","(X=24160, Y=24430, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_C01","0","2","0"
"84","84","2030","10033","0","(X=-23860, Y=-23790, Z=0)","(X=24140, Y=24210, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_C02","0","2","0"
"85","85","2040","103003020","0","(X=-27640, Y=-39820, Z=0)","(X=42360, Y=30180, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_DeathValley_01_S","0","2","200022050"
"86","86","2040","103003030","0","(X=-22410, Y=-34230, Z=0)","(X=36590, Y=24770, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_DeathValley_02_S","0","2","200022051"
"87","87","2040","103003050","0","(X=-14940, Y=-6000, Z=0)","(X=5460, Y=14400, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Raid_Snake","0","0","0"
"88","88","2040","200022050","0","(X=-27640, Y=-39820, Z=0)","(X=42360, Y=30180, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_DeathValley_01_S","1","2","103003020"
"89","89","2040","200022051","0","(X=-22410, Y=-34230, Z=0)","(X=36590, Y=24770, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_DeathValley_02_S","1","2","103003030"
"90","90","2060","104004050","0","(X=-25370, Y=-25180, Z=0)","(X=24630, Y=24820, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_EightAngle","0","2","0"
"91","91","2060","104004040","0","(X=-31770.0, Y=-37180.0, Z=0)","(X=46230.0, Y=40820.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_01_S","0","2","200022070"
"92","92","2060","104004090","0","(X=-47740, Y=-40730, Z=0)","(X=39860, Y=46870, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_02_S","0","2","200022071"
"93","93","2060","104004100","0","(X=-41710, Y=-50480, Z=0)","(X=43290, Y=34520, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_03_S","0","2","200022072"
"94","94","2060","104005010","0","(X=-6270, Y=-8610, Z=0)","(X=6330, Y=3990, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Mine_Boss_02","0","0","0"
"95","95","2060","200022070","0","(X=-31770, Y=-37180, Z=0)","(X=46230, Y=40820, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_01_S","1","2","104004040"
"96","96","2060","200022071","0","(X=-47740, Y=-40730, Z=0)","(X=39860, Y=46870, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_02_S","1","2","104004090"
"97","97","2060","200022072","0","(X=-41710, Y=-50480, Z=0)","(X=43290, Y=34520, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine01_03_S","1","2","104004100"
"98","98","2070","10040","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"99","99","2070","10041","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"100","100","2070","10042","0","(X=-23770, Y=-23710, Z=0)","(X=24230, Y=24290, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A01","0","2","0"
"101","101","2070","10043","0","(X=-23990, Y=-23930, Z=0)","(X=24010, Y=24070, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_A02","0","2","0"
"102","102","2080","105001010","0","(X=-13710, Y=-15930, Z=0)","(X=15690, Y=13470, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_VillainTown","0","2","0"
"103","103","2080","105001020","0","(X=-31530, Y=-32640, Z=0)","(X=37670, Y=36560, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Camp01","0","2","0"
"104","104","2080","13001","0","(X=-19890, Y=-23930, Z=0)","(X=24110, Y=20070, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_SeaDragon_01","0","6","0"
"105","105","2090","104004070","0","(X=-14760.0, Y=-29050.0, z=0)","(X=50840.0, Y=36550.0, z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine02_02","0","2","200022080"
"106","106","2090","104004060","0","(X=-25010.0, Y=-38990.0, z=0)","(X=49390.0, Y=35410.0, z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine02_01","0","2","200022081"
"107","107","2090","200022080","0","(X=-25010.0, Y=-38990.0, z=0)","(X=49390.0, Y=35410.0, z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine02_01","1","2","104004070"
"108","108","2090","200022081","0","(X=-14760.0, Y=-29050.0, z=0)","(X=50840.0, Y=36550.0, z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Mine02_02","1","2","104004060"
"109","109","2100","103003070","0","(X=-32450.0, Y=-34810.0, Z=0)","(X=37950.0, Y=35590.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Sayo_renewal","0","2","200022110"
"110","110","2100","200022110","0","(X=-32450.0, Y=-34810.0, Z=0)","(X=37950.0, Y=35590.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Sayo_renewal","1","2","103003070"
"111","111","2143","300150","0","(X=-10980.0, Y=-11650.0, Z=0)","(X=11020.0, Y=10350.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/RD_RedWander","0","0","0"
"112","112","2155","300310","0","(X=-19460, Y=-19530, Z=0)","(X=19540, Y=19470, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/PartyField_01","0","0","0"
"113","113","2156","300320","0","(X=-6270, Y=-8610, Z=0)","(X=6330, Y=3990, Z=0)","1","1","/Game/UI/Atlas_N_Resource/Minimap/ST_Mine_Boss_02","0","0","0"
"114","114","2157","300340","0","(X=-11950.0, Y=-11670.0, Z=0)","(X=12050.0, Y=12330.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Redvalley_Boss","0","0","0"
"115","115","2200","13001","0","(X=-19890, Y=-23930, Z=0)","(X=24110, Y=20070, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_SeaDragon_01","0","6","0"
"116","116","3010","105002020","0","(X=-36080, Y=-41910, Z=0)","(X=35920, Y=30090, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/TW_DoGwan","0","4","0"
"117","117","3030","10050","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"118","118","3030","10051","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"119","119","3030","10052","0","(X=-23710, Y=-23500, Z=0)","(X=24290, Y=24500, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B01","0","2","0"
"120","120","3030","10053","0","(X=-23970, Y=-23970, Z=0)","(X=24030, Y=24030, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/Elite_B02","0","2","0"
"121","121","3040","105002050","0","(X=-20410, Y=-23280, Z=0)  ","(X= 22990, Y= 20120, Z=0)  ","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_03","0","2","200022100"
"122","122","3040","105002060","0","(X=-24840, Y=-24660, Z=0)","(X=23160, Y=23340, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_02","0","2","200022101"
"123","123","3040","105002070","0","(X=-26670, Y=-23000, Z=0)","(X=28130, Y=31800, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_01","0","2","200022102"
"124","124","3040","200022100","0","(X=-20410, Y=-23280, Z=0)  ","(X= 22990, Y= 20120, Z=0)  ","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_03","1","2","105002050"
"125","125","3040","200022101","0","(X=-24840, Y=-24660, Z=0)","(X=23160, Y=23340, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_02","1","2","105002060"
"126","126","3040","200022102","0","(X=-26670, Y=-23000, Z=0)","(X=28130, Y=31800, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Mountain_01","1","2","105002070"
"127","127","3050","106001010","0","(X=-26240.0, Y=-28760.0, Z=0)","(X=26560.0, Y=24040.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Redmountain","0","2","200022130"
"128","128","3050","106001020","0","(X=-12630.0, Y=-8470.0, Z=0)","(X=9370.0, Y=13530.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_SecretJail01","0","0","0"
"129","129","3050","106001030","0","(X=-9040.0, Y=-8250, Z=0)","(X=8560.0, Y=9350.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_SecretPlace01","0","0","0"
"130","130","3050","200022130","0","(X=-26240.0, Y=-28760.0, Z=0)","(X=26560.0, Y=24040.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Redmountain","1","2","106001010"
"131","131","3060","106002010","0","(X=-25140.0, Y=-30320.0, Z=0)","(X=31860.0, Y=26680.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_01","0","2","200022090"
"132","132","3060","106002020","0","(X=-25350.0, Y=-29840.0, Z=0)","(X=35450.0, Y=30960.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_02","0","2","200022091"
"133","133","3061","300420","0","(X=-25350.0, Y=-29840.0, Z=0)","(X=35450.0, Y=30960.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_02","0","0","0"
"134","134","3060","106002030","0","(X=-27020.0, Y=-30360.0, Z=0)","(X=31980.0, Y=28640.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_03","0","2","200022092"
"135","135","3060","106002040","0","(X=-11950.0, Y=-11670.0, Z=0)","(X=12050.0, Y=12330.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/ST_Redvalley_Boss","0","0","0"
"136","136","3060","200022090","0","(X=-25140.0, Y=-30320.0, Z=0)","(X=31860.0, Y=26680.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_01","1","2","106002010"
"137","137","3060","200022091","0","(X=-25350.0, Y=-29840.0, Z=0)","(X=35450.0, Y=30960.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_02","1","2","106002020"
"138","138","3060","200022092","0","(X=-27020.0, Y=-30360.0, Z=0)","(X=31980.0, Y=28640.0, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FD_Redvalley_03","1","2","106002030"
"139","139","3070","201003040","0","(X=-27410, Y=-28030, Z=0)","(X=27189.99, Y=26570, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under01_S","0","2","0"
"140","140","3070","201003041","0","(X=-21740.0, Y=-24220, Z=0)","(X=27260.0, Y=24780, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under03_S","0","2","0"
"141","141","3070","201003042","0","(X=-20990, Y=-21550, Z=0)","(X=22410, Y=21850, Z=0)","1","0.75","/Game/UI/Atlas_N_Resource/Minimap/FG_Under02_S","0","2","0"
